Code,Date,PriceLastTransaction,Max,Min,AveragePrice,GainPercent,Volume,GainBestDenari,TotalGain
ADIN,13.11.2014,305.0,305.0,305.0,305.0,22.0,581,177205.0,177205.0
ADIN,02.12.2014,450.0,450.0,450.0,450.0,47.54,180,81000.0,81000.0
ADIN,04.12.2014,409.0,409.0,409.0,409.0,-9.11,100,40900.0,40900.0
ADIN,05.12.2014,410.0,410.0,410.0,410.0,0.24,683,280030.0,280030.0
ADIN,22.12.2014,357.0,357.0,357.0,357.0,-12.93,100,35700.0,35700.0
ADIN,26.01.2015,367.0,367.0,367.0,367.0,2.8,25,9175.0,9175.0
ADIN,02.02.2015,367.0,367.0,367.0,367.0,0.0,575,211025.0,211025.0
ADIN,03.02.2015,367.0,367.0,367.0,367.0,0.0,396,145332.0,145332.0
ADIN,13.02.2015,367.0,367.0,367.0,367.0,0.0,50,18350.0,18350.0
ADIN,25.03.2015,375.0,375.0,375.0,375.0,2.18,5,1875.0,1875.0
ADIN,14.04.2015,310.0,310.0,310.0,310.0,-17.33,100,31000.0,31000.0
ADIN,25.06.2015,250.0,250.0,250.0,250.0,-19.35,576,144000.0,144000.0
ADIN,18.08.2015,265.0,265.0,265.0,265.0,6.0,1467,388755.0,388755.0
ADIN,05.10.2015,300.0,300.0,300.0,300.0,13.21,100,30000.0,30000.0
ADIN,22.10.2015,300.0,300.0,300.0,300.0,0.0,446,133800.0,133800.0
ADIN,28.10.2015,299.0,299.0,299.0,299.0,-0.33,330,98670.0,98670.0
ADIN,30.10.2015,299.0,299.0,299.0,299.0,0.0,50,14950.0,14950.0
ADIN,04.11.2015,270.0,270.0,270.0,270.0,-9.7,1167,315090.0,315090.0
ADIN,05.11.2015,290.0,290.0,290.0,290.0,7.41,100,29000.0,29000.0
ADIN,10.11.2015,290.0,290.0,290.0,290.0,0.0,200,58000.0,58000.0
ADIN,19.11.2015,290.0,290.0,290.0,290.0,0.0,54,15660.0,15660.0
ADIN,25.11.2015,345.0,345.0,345.0,345.0,18.97,60,20700.0,20700.0
ADIN,24.12.2015,345.0,345.0,345.0,345.0,0.0,10,3450.0,3450.0
ADIN,05.01.2016,345.0,345.0,345.0,345.0,0.0,50,17250.0,17250.0
ADIN,04.03.2016,311.0,311.0,311.0,311.0,-9.86,50,15550.0,15550.0
ADIN,09.03.2016,340.0,340.0,340.0,340.0,9.32,90,30600.0,30600.0
ADIN,11.03.2016,339.0,339.0,339.0,339.0,-0.29,41,13899.0,13899.0
ADIN,15.03.2016,338.0,338.0,338.0,338.0,-0.29,30,10140.0,10140.0
ADIN,22.03.2016,335.0,335.0,335.0,335.0,-0.89,30,10050.0,10050.0
ADIN,31.03.2016,325.0,325.0,325.0,325.0,-2.99,1115,362375.0,362375.0
ADIN,01.04.2016,300.0,300.0,300.0,300.0,-7.69,1150,345000.0,345000.0
ADIN,05.04.2016,300.0,300.0,300.0,300.0,0.0,750,225000.0,225000.0
ADIN,03.05.2016,299.0,299.0,299.0,299.0,-0.33,500,149500.0,149500.0
ADIN,05.05.2016,300.0,300.0,300.0,300.0,0.33,70,21000.0,21000.0
ADIN,18.05.2016,299.0,299.0,299.0,299.0,-0.33,200,59800.0,59800.0
ADIN,23.05.2016,300.0,300.0,300.0,300.0,0.33,1157,347100.0,347100.0
ADIN,31.05.2016,301.0,301.0,301.0,301.0,0.33,110,33110.0,33110.0
ADIN,01.06.2016,300.0,300.0,300.0,300.0,-0.33,350,105000.0,105000.0
ADIN,03.06.2016,300.0,300.0,300.0,300.0,0.0,100,30000.0,30000.0
ADIN,23.06.2016,300.0,300.0,280.0,297.78,-0.74,180,53600.0,53600.0
ADIN,05.08.2016,310.0,310.0,306.0,306.8,3.03,500,153400.0,153400.0
ADIN,08.08.2016,310.0,310.0,310.0,310.0,1.04,80,24800.0,24800.0
